3;2134;Maria;Retiro;B;5;2025-11-17 01:08:10
2;115740565;Josue;Retiros;A;298;2025-11-23 01:16:29
1;415740522;GERARDO;Cambio de Divisas;P;86;2025-11-23 01:16:59
1;523587412;NIKOL;Retiros;P;124495;2025-11-24 11:50:58
1;800740898;Sonia;Depósitos;A;124645;2025-11-24 11:51:09
1;115740565;josue;Retiros;A;1073716;2025-12-06 22:05:31
1;200585206;HENRY;Cambio de Divisas;B;1198271;2025-12-06 22:05:38
1;900750555;BELSUE;Depósitos;B;1198237;2025-12-06 22:05:41
1;500740565;SONIA;Depósitos;P;3060;2025-12-06 23:04:50
1;800969696;GERARDO;Retiros;P;3027;2025-12-06 23:04:54
1;200740898;BELSUE;Cambio de Divisas;1;3251;2025-12-06 23:04:58
1;800740898;HENRY;Depósitos;2;3095;2025-12-06 23:05:02
1;115740565;josue;Retiros;A;3305;2025-12-06 23:05:07
1;115740565;josue;Retiros;1;296;2025-12-06 23:46:19
1;115740565;josue;Retiros;1;1106;2025-12-06 23:59:48
1;115740565;josue;Retiros;1;1490;2025-12-07 00:25:12
2;115740565;josue;Retiros;A;194;2025-12-07 00:28:54
1;55;gerardo;Cambio de Divisas;P;178;2025-12-07 00:29:05
3;800740898;jafet;Cambio de Divisas;B;6184;2025-12-07 02:09:48
1;400740898;saul;Retiros;P;6124;2025-12-07 02:10:08
1;123;asd;Retiros;P;410;2025-12-07 18:11:08
2;700740589;dayana;Retiros;A;63815;2025-12-07 18:11:13
4;900740898;sonia;Retiros;B;63767;2025-12-07 18:11:21
